Species,Max-Elevation_m,Min_Body_mass_g,Max_Body_mass_g,min-length-cm,max-length-cm,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Migration,Primary.Lifestyle,Longitude,Latitude,Location,Province,Country,Continent,Years_sampling,Environment,Sites_code,Tissue,Digestion method,Temp (Degree Celcius),Identification,Number_of_species,Number_of_MP_detected_in_species,Average_weight (gm),Wing size (mm),Average_age,TNMP,Mppersp,Includes_microplastic,Level,Mpperg,ng/g,particle /mg,Size MP (mm),20-50,50-100,100-500,500-1000,>1000,Films,Foam,Fragments,Fiber/thread,Pellets,Others,Cellulose,PE,Acrylic,PP,PA,PS,PVC,Nylon,PET,PES,Rayon,Cotton,Polyacrylic,Others,Blue,Transparent/white,Yellow,Red/Brown,black,Others,total
Thalasseus maximus,100 ,,,,,73.70 ,8.40 ,363.70 ,415.30 ,Carnivore,Aquatic predator,Marine,3,3,Aerial,-80.53 ,25.01 ,Florida Keys Wild Bird Center,Florida,United States of America,North America,,,,gizzard,,,,9,,225.56,,,,9.9,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phalacrocorax sulcirostris,150 ,2600.00 ,3700.00 ,84.00 ,90.00 ,51.90 ,8.60 ,248.80 ,995.00 ,Carnivore,Aquatic predator,Wetland,3,1,Aquatic,106.69 ,-5.98 ,Pulau Rambut,,Indonesia,Asia,,,,GIT,,,,,,,,,,320.0,Y,Maxmimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anas platyrhynchos,1000 ,,1082.00 ,,,58.50 ,20.80 ,263.40 ,843.40 ,Herbivore,Herbivore aquatic,Wetland,3,2,Aquatic,71.79 ,34.77 ,Panjkora River,,Pakistan,Asia,2022,Freshwater,,crop,Binocular microscope/FTIR,,,20,,2.41,,,892,44.6,Y,Maxmimum,,,,,,,63,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,
Anas platyrhynchos,1000 ,,1082.00 ,,,58.50 ,20.80 ,263.40 ,843.40 ,Herbivore,Herbivore aquatic,Wetland,3,2,Aquatic,71.79 ,34.77 ,Panjkora River,,Pakistan,Asia,2022,Freshwater,,gizzard,Binocular microscope/FTIR,,,20,,2.41,,,1141,57.1,Y,Maxmimum,,,,,55,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,
Coragyps atratus,2800 ,2000.00 ,2700.00 ,,,60.00 ,14.80 ,410.10 ,1881.70 ,Omnivore,Scavenger,Human modified,3,2,Terrestrial,-90.52 ,19.84 ,Campeche city landfill,Campeche,Mexico,North America,2019,Terrestrial,,pellets,,,,24,,,,,225,9.4,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coragyps atratus,2800 ,2000.00 ,2700.00 ,,,60.00 ,14.80 ,410.10 ,1881.70 ,Omnivore,Scavenger,Human modified,3,2,Terrestrial,-90.52 ,19.84 ,Campeche city landfill,Campeche,Mexico,North America,2020,Terrestrial,,pellets,,,,34,,,,,164,6.8,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulmarus glacialis,300 ,450.00 ,1000.00 ,45.00 ,50.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,67.23 ,62.47 ,Qaqulluit National Wildlife Area,Qikiqtarjuaq,Nunavut,,2018,Terrestrial,,Stomach,,,,,48,,,,,1.8,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulmarus glacialis,300 ,450.00 ,1000.00 ,45.00 ,50.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,67.23 ,62.47 ,Qaqulluit National Wildlife Area,Qikiqtarjuaq,Nunavut,,2018,Terrestrial,,Fecal precursor,,,,,24,,,,,0.89,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uria lomvia,,750.00 ,1481.00 ,,45.00 ,49.30 ,8.60 ,206.80 ,964.00 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,66.93 ,61.77 ,Akpait National Wildlife area,Qikiqtarjuaq,Nunavat,,2018,Terrestrial,,Fecal precursor,,,,,10,,,,,0.33,Y,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterna hirundo,4000 ,,120.00 ,,37.00 ,44.50 ,3.80 ,253.30 ,129.20 ,Carnivore,Aquatic predator,Marine,3,3,Aerial,-70.63 ,42.97 ,White and Seavey Island,,United States of America,North America,2019,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
